width,length,factor
4,10.2,1.003
5.6,14,1.011
5.7,10.5,1.01
5.9,13,1.008
6,11.5,1.013
6.4,12.6,1.014
6.6,10.4,1.011
6.9,10.6,1.013
7,9.9,1.018
7.7,13.4,1.012
8,11.6,1.016
8.5,9.6,1.018
9,13.5,1.014
10.2,11.5,1.012
10.5,11.35,1.012
11.5,11.5,1.01
13.6,14.4,1.006
