width,length,factor
5.7,17.6,1.01
7.9,17.5,1.013
8.5,12.5,1.018
8.5,16.2,1.016
9,12.5,1.018
9,17,1.013
9.4,18.4,1.012
14,18.2,1.006
15.3,15.3,1.003
