width,length,factor
3.9,12.4,0.996
5,8.8,1.009
5.1,15.2,1.009
5.3,10.1,1.009
5.5,10.7,1.006
6.25,12.5,1.007
6.3,14,1.014
7.4,10.6,1.015
7.5,12.4,1.012
7.8,12.1,1.012
8,11,1.015
8.5,9.6,1.016
8.95,10.95,1.011
9,10.9,1.009
9.45,13.7,1.01
11.4,13.2,1.005
13,13.8,1.002
