width,length,factor
6.1,17.8,1.013
5.5,20,1.01
10.1,21,1.008
10.9,14.1,1.01
11.05,15.4,1.011
12.5,15.05,1.009
12.9,16.2,1.009
13.1,16.2,1.006
13.4,16.5,1.009
15.2,19.1,1.007
