width,length,factor
3.55,8,0.986
3.7,4.4,0.981
3.7,5.6,1
3.7,5.7,0.998
3.7,6.4,0.985
3.8,6.4,0.995
3.8,7.5,0.993
4,8,0.996
4.2,6.9,1.006
4.25,8.8,1.004
4.5,5.2,1.005
4.7,4.7,0.999
4.9,7.1,1.01
4.9,9.6,1.011
4.95,6.8,1.009
5.05,6,1.003
5.1,5.3,1.006
5.1,7,1.008
5.5,7.55,1.008
5.6,8.9,1.007
5.6,9.05,1.019
5.9,9.2,1.016
6,6.5,1.011
6,6.95,1.011
6,7.5,1.011
6.2,8.05,1.012
6.25,7.5,1.011
6.4,7.05,1.011
6.4,9.25,1.009
6.45,8.9,1.014
6.5,7.05,1.012
6.5,7.5,1.007
6.5,8.9,1.011
6.55,8.25,1.007
6.9,11.6,1.009
7,7.3,1.014
7,9.5,1.009
7.8,7.85,1.01
7.9,8.15,1.013
8,10,1.005
8,10,1.008
8.05,8.8,1.01
8.2,8.8,1.004
8.5,8.5,1.006
8.8,9.3,1.008
9.5,9.5,1.007
