width,length,factor
5,11,1.012
5.05,12.2,1.001
5.5,13.5,1.009
6.2,10.45,1.016
7.5,10.1,1.024
7.5,12,1.013
8,12,1.006
8.1,11.6,1.011
8.9,13.3,1.007
9,10,1.011
9,10.9,1.01
9,12,1.007
9.4,11.7,1.004
13,13.8,1.003
