width,length,factor
2.9,6.5,0.953
3.4,7.5,0.973
3.5,7.6,0.978
4,7.6,0.993
4.15,6.8,0.987
4.3,8.3,0.993
4.6,6.4,0.994
5.25,5.9,0.993
5.3,10.95,1.006
5.5,6,1.001
5.5,8.25,1.002
5.5,9.5,1.004
5.7,6,1.004
6,7.5,1.008
6.1,8.5,1.007
6.35,10.2,1.007
6.9,7.1,1.009
7,9.5,1.008
7,10.4,1.008
7.05,9.05,1.01
7.55,10.05,1.01
8,9.6,1.008
8.4,9.3,1.007
