width,length,factor
3.5,6.4,0.995
4.8,9.2,0.997
5.2,9.4,0.996
5.4,6.7,0.996
5.5,9.5,1.002
5.9,8.7,1.005
6,7.9,1.002
6.25,8.5,1.004
6.5,8.5,1.003
6.7,8.7,1.006
7,9.8,1.005
7.55,7.7,1.006
8,10.15,1.007
8.65,9.1,1.004
