width,length,factor
3.1,4.2,0.987
3.2,5.6,0.989
3.4,4.2,0.992
3.7,3.9,1.012
3.7,4.3,0.991
3.8,3.8,0.988
3.9,5.1,0.995
4,5.2,0.989
4.1,5.7,1.003
4.3,5.2,1.001
5.8,5.8,1.011
