width,length,factor
2.8,3.8,0.938
3,3,0.915
3,3.65,0.927
3.1,4.2,0.95
2.9,4.7,0.928
3,5.2,0.954
3.2,3.8,0.939
3.3,4,0.959
3.4,5.7,0.965
3.5,5.2,0.973
3.6,6.5,0.977
3.75,3.75,0.954
3.8,3.8,0.965
3.8,5.8,0.987
3.85,4.3,0.969
3.9,4.1,0.968
3.9,4.4,0.971
3.9,5.6,0.983
3.95,4.75,0.982
4,5.8,0.98
4.6,6.2,1
4.7,4.9,0.995
4.7,4.95,1.002
4.8,5.5,0.988
5.4,5.75,1.001
