width,length,factor
5.2,9.9,1.01
5.5,10,1.007
5.5,14.3,1.006
5.8,12,1.018
6.8,11.8,1.011
6.9,10.6,1.009
8,11,1.013
8.25,12.4,1.012
8.5,12,1.011
10.1,11.5,1.008
10.2,11.5,1.01
10.3,10.5,1.012
10.7,14.5,1.007
