width,length,gap,give,factor
3.0,5.0,140.90990386779123,0.2716238544117445,
2.0,3.0,250.5015754021612,0.9927336881739782,
3.0,4.0,106.89432622287383,0.17207946066603208,0.9348404766876639
3.5,3.5,59.912092754839506,0.08188204422887924,0.9535055119829408
4.5,4.5,34.13797885696383,0.13487386383358596,0.990117689469015
4.0,4.0,40.793043540031626,0.06914898623021848,0.9743052333717888
